"candidate_rank","gene","sender_evidence_level","candidate_label","ligand_annotation_source","database_version","mapping_status","nichenet_lr_edge_n","omnipath_row_n","omnipath_ligand_annotation","omnipath_transmitter_annotation","omnipath_secreted_annotation","omnipath_extracellular_annotation","protein_secretome_annotation","omnipath_databases","nichenet_resource_sha256","omnipath_snapshot_sha256","freeze_status","source_url.x","gse182_supported_donor_n","gse199_supported_donor_n","total_supported_donor_n","gse182_low_detected_donor_n","gse199_low_detected_donor_n","gse182_median_CPM","gse199_median_CPM","gse182_median_fraction","gse199_median_fraction","gse182_median_rank","gse199_median_rank","between_donor_log2cpm_sd","donor_variable_flag","baseline_classification","uc_median_rank","non_uc_median_rank","uc_minus_non_uc_rank","source_context_flag","robustness_rule","source_context_interpretation","source_url.y","gene_measured","donor1_effect","donor2_effect","donor2_p2_effect","donor2_p5_effect","median_donor_effect","absolute_median_donor_effect","retained_after_stimulation_all_strata","licensing_classification","classification_rule","source_url","transcriptomic_sender_evidence","ligand_claim","sender_competence","licensing_responsive_ligand","protein_evidence_interpretation","phase4_eligible","source_url_phase3","min_dataset_median_rank"
58,"ITGB1","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,75,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Adhesome;Almen2009;Baccin2019;CellCellInteractions;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;EMBRACE;GO_Intercell;Guide2Pharma;HPMR;ICELLNET;Integrins;iTALK;Kirouac2010;LOCATE;LRdb;Membranome;OmniPath;Phobius;Ramilowski_location;Ramilowski2015;scConnect;Surfaceome;talklr;TopDB;UniProt_keyword;UniProt_location;UniProt_topology;Zhong2015","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,384.677690233281,821.213665110533,0.997119844169912,0.956401565445834,0.970117845117845,0.983924154987634,0.651869953056072,"NO","ROBUST_BASELINE_SENDER",0.970117845117845,0.976010101010101,-0.00589225589225584,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-0.302225226985967,-0.179905884788928,-0.35001405113849,-0.00979771843936614,-0.241065555887448,0.241065555887448,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.970117845117845
59,"COL6A1","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",6,17,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellChatDB;ComPPI;GO_Intercell;HGNC;HPA_secretome;LOCATE;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,392.814011750218,328.320546114766,0.996212578546665,0.898897595443272,0.968855218855219,0.971145919208574,0.246746745148538,"NO","ROBUST_BASELINE_SENDER",0.968855218855219,0.986952861952862,-0.0180976430976431,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-0.0498170393855008,-0.306479960513567,-0.283852291363168,-0.329107629663966,-0.178148499949534,0.178148499949534,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.968855218855219
60,"ARF1","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,12,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Baccin2019;ComPPI;connectomeDB2020;GO_Intercell;LOCATE;OmniPath;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,328.256204045077,437.025720697548,0.996274467054379,0.954781461491276,0.966750841750842,0.975680131904369,0.236735075863542,"NO","ROBUST_BASELINE_SENDER",0.966750841750842,0.955808080808081,0.0109427609427609,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",0.528128661308345,0.617322654434138,0.0562468524793689,1.17839845638891,0.572725657871241,0.572725657871241,"YES","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.966750841750842
61,"COL6A2","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,16,"NO","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellChatDB;ComPPI;GO_Intercell;HGNC;HPA_secretome;LOCATE;Matrisome;OmniPath;Ramilowski_location;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,478.721763537886,264.691909104863,0.997442392744231,0.888804641056039,0.973905723905724,0.966611706512778,0.621577425590417,"NO","ROBUST_BASELINE_SENDER",0.973905723905724,0.991161616161616,-0.0172558922558923,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",0.0431314418633427,0.258179010173141,-0.62249297264564,1.13885099299192,0.150655226018242,0.150655226018242,"YES","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.966611706512778
62,"S100A4","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,17,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;CellTalkDB;ComPPI;ConnectomeDB2025;GO_Intercell;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,347.623007457482,1485.10447061473,0.907162677385199,0.920077892996576,0.966329966329966,0.992992580379225,1.63437855714847,"YES","ROBUST_BASELINE_SENDER",0.966329966329966,0.99452861952862,-0.0281986531986531,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-0.769653806480659,-0.124460776660151,-0.21809898480837,-0.0308225685119324,-0.447057291570405,0.447057291570405,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.966329966329966
63,"CALM1","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",7,11,"NO","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Cellinker;ComPPI;GO_Intercell;LOCATE;OmniPath;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,392.9221474611,844.786352853017,0.978555576357523,0.963921781721737,0.964646464646465,0.98474855729596,0.810264593013949,"NO","ROBUST_BASELINE_SENDER",0.964646464646465,0.976010101010101,-0.0113636363636364,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-0.296950072818589,-0.399842687740532,-0.618784786115466,-0.180900589365599,-0.348396380279561,0.348396380279561,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.964646464646465
64,"ITM2B","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,29,"NO","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;Cellinker;ComPPI;CSPA;GO_Intercell;MatrixDB;OmniPath;Phobius;Ramilowski_location;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,428.953417879285,179.339689679649,0.998132499354847,0.867451329237243,0.971801346801347,0.955482275350371,0.657019935119641,"NO","ROBUST_BASELINE_SENDER",0.971801346801347,0.971801346801347,0,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-0.0396828527908468,0.467626762719692,0.373094354103748,0.562159171335637,0.213971954964423,0.253654807755269,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.955482275350371
65,"CD59","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",3,40,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;ICELLNET;LOCATE;LRdb;OmniPath;Surfaceome;TopDB;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,240.456327279198,657.879863115589,0.963032430214837,0.957253320076968,0.951178451178451,0.979389942291838,0.946020494226652,"NO","ROBUST_BASELINE_SENDER",0.951178451178451,0.983585858585858,-0.0324074074074074,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",0.0368854701714601,-0.235096548397935,-0.513887410779769,0.0436943139839001,-0.0991055391132372,0.135991009284697,"YES","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.951178451178451
66,"NUCB2","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,10,"NO","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","ComPPI;GO_Intercell;LOCATE;MatrixDB;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,202.214465023589,166.146775815991,0.962356046535063,0.844052332297621,0.951178451178451,0.950535861500412,0.272297519225776,"NO","ROBUST_BASELINE_SENDER",0.951178451178451,0.946548821548822,0.00462962962962954,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",0.136936666150244,-0.0665940734021769,-0.128811037911074,-0.00437710889328019,0.0351712963740336,0.101765369776211,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.950535861500412
67,"COL5A2","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",10,15,"NO","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;Cellinker;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,167.773864925937,199.822981916312,0.949008339148067,0.822512238394277,0.949494949494949,0.955894476504534,0.495353433074596,"NO","ROBUST_BASELINE_SENDER",0.949494949494949,0.921296296296296,0.0281986531986531,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-1.26373314908721,0.278381451551063,0.117069064641235,0.439693838460891,-0.492675848768073,0.771057300319136,"YES","DONOR_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.949494949494949
68,"SERPINE2","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,13,"NO","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,507.471691896314,155.241448913503,0.975177637926997,0.695141773936077,0.975589225589226,0.949299258037922,0.935531280085782,"NO","ROBUST_BASELINE_SENDER",0.975589225589226,0.966750841750842,0.00883838383838376,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-1.2831807165939,-0.0424274167722036,-1.07064988423865,0.985795050694247,-0.66280406668305,0.66280406668305,"YES","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.949299258037922
69,"LGALS3","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,28,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;CellPhoneDB;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;ICELLNET;LOCATE;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,189.805236695908,211.126570863028,0.951372798540211,0.844347115733138,0.949074074074074,0.95795548227535,0.357789899243062,"NO","ROBUST_BASELINE_SENDER",0.949074074074074,0.970117845117845,-0.0210437710437711,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-1.28250285117842,0.114142067805692,-0.272106430188686,0.50039056580007,-0.584180391686362,0.698322459492054,"YES","PASSAGE_DEPENDENT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.949074074074074
70,"COL6A3","S2","HIGH_CONFIDENCE_SENDER_CANDIDATE_NOT_THERAPEUTIC","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,21,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellChatDB;CellPhoneDB;CellTalkDB;GO_Intercell;HGNC;HPA_secretome;ICELLNET;iTALK;LOCATE;Matrisome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell",2,4,6,2,4,210.9221417875,194.91908284183,0.917467285058228,0.817457105869094,0.949074074074074,0.956718878812861,0.611626489034696,"NO","ROBUST_BASELINE_SENDER",0.949074074074074,0.97516835016835,-0.0260942760942761,"NO_LARGE_CONTEXT_SHIFT","GSE182158 2/2 plus GSE199071 >=3/4 donor support; CPM>=1 and expressing fraction>=0.10","DESCRIPTIVE_ONLY_NOT_CAUSAL_NOT_REQUIRED_FOR_ROBUSTNESS","results/03_phase3/baseline/baseline_ligand_expression_by_donor.csv|config/phase3_analysis.json","YES",-0.163756726949801,-0.568290983227096,-1.0525726317937,-0.0840093346604934,-0.366023855088448,0.366023855088448,"YES","NO_CLEAR_LICENSING_EFFECT","donor/passage rules frozen before outcomes; no cell-level P value","results/03_phase3/licensing/licensing_effect_by_donor_passage.csv|config/phase3_analysis.json","ROBUST_BASELINE_NO_CONSISTENT_LICENSING","PUTATIVE_TRANSCRIPTOMIC_LIGAND","HIGH_CONFIDENCE_SENDER_CANDIDATE","NO","ANNOTATION_ONLY_TRANSCRIPT_DOES_NOT_PROVE_SECRETION","YES","results/03_phase3/baseline/baseline_sender_robustness.csv|results/03_phase3/licensing/licensing_ligand_classification.csv|config/phase3_analysis.json",0.949074074074074
