"gene","ligand_annotation_source","database_version","mapping_status","nichenet_lr_edge_n","omnipath_row_n","omnipath_ligand_annotation","omnipath_transmitter_annotation","omnipath_secreted_annotation","omnipath_extracellular_annotation","protein_secretome_annotation","omnipath_databases","nichenet_resource_sha256","omnipath_snapshot_sha256","freeze_status","source_url"
"ADAM17","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",9,39,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;Baccin2019;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;GO_Intercell;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM2","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,33,"YES","YES","NO","NO","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Baccin2019;Cellinker;connectomeDB2020;ConnectomeDB2025;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM20","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,23,"NO","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Cellinker;DGIdb;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM21","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",3,27,"NO","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;Cellinker;DGIdb;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM23","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,39,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;Cellinker;connectomeDB2020;ConnectomeDB2025;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM28","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,42,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;LOCATE;Matrisome;MatrixDB;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM29","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,27,"YES","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;connectomeDB2020;ConnectomeDB2025;DGIdb;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM7","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,26,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","connectomeDB2020;ConnectomeDB2025;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAM9","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,48,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;HPA_secretome;HPMR;LOCATE;Matrisome;Membranome;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADAMTS3","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,23,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellCellInteractions;CellTalkDB;ComPPI;HGNC;HPA_secretome;LOCATE;Matrisome;MatrixDB;OmniPath;scConnect;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADCYAP1","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,34,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellCall;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;connectomeDB2020;ConnectomeDB2025;EMBRACE;GO_Intercell;Guide2Pharma;HPA_secretome;HPMR;ICELLNET;iTALK;LOCATE;LRdb;OmniPath;Ramilowski2015;scConnect;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADGRB1","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,65,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellCellInteractions;CellChatDB;CellPhoneDB;ComPPI;connectomeDB2020;ConnectomeDB2025;DGIdb;GO_Intercell;GPCRdb;HGNC;HPA_secretome;HPMR;ICELLNET;LOCATE;MatrixDB;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;UniProt_keyword;UniProt_location;UniProt_topology;Zhong2015","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADGRE5","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,75,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;GO_Intercell;GPCRdb;HGNC;HPA_secretome;HPMR;ICELLNET;iTALK;LOCATE;LRdb;OmniPath;Phobius;Ramilowski_location;Ramilowski2015;scConnect;Surfaceome;talklr;TopDB;UniProt_keyword;UniProt_location;UniProt_topology","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADGRF5","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,49,"NO","YES","NO","YES","NO_OMNIPATH_SECRETED_ANNOTATION","Almen2009;CellCellInteractions;Cellinker;CSPA;DGIdb;GO_Intercell;GPCRdb;HGNC;HPMR;LOCATE;OmniPath;Phobius;Ramilowski_location;scConnect;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology;Zhong2015","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADIPOQ","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,37,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellCall;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;connectomeDB2020;ConnectomeDB2025;DGIdb;EMBRACE;GO_Intercell;HGNC;HPA_secretome;HPMR;iTALK;Kirouac2010;LOCATE;LRdb;Matrisome;OmniPath;Ramilowski2015;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADM","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",9,35,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;DGIdb;EMBRACE;GO_Intercell;Guide2Pharma;HPA_secretome;HPMR;ICELLNET;iTALK;LRdb;MatrixDB;OmniPath;Ramilowski2015;scConnect;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ADM2","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",13,29,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;Cellinker;CellPhoneDB;CellTalkDB;connectomeDB2020;ConnectomeDB2025;DGIdb;GO_Intercell;Guide2Pharma;HPA_secretome;iTALK;LOCATE;LRdb;MatrixDB;OmniPath;Ramilowski2015;scConnect;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"AGRN","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",8,30,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellChatDB;Cellinker;CellPhoneDB;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;HPMR;LOCATE;Matrisome;OmniPath;Ramilowski_location;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"AGRP","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,33,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;connectomeDB2020;ConnectomeDB2025;EMBRACE;GO_Intercell;Guide2Pharma;HPA_secretome;HPMR;iTALK;Kirouac2010;LRdb;MatrixDB;OmniPath;Ramilowski2015;scConnect;talklr;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"AGT","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",5,36,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellCall;CellChatDB;Cellinker;CellPhoneDB;CellTalkDB;ComPPI;connectomeDB2020;ConnectomeDB2025;DGIdb;GO_Intercell;Guide2Pharma;HPA_secretome;HPMR;ICELLNET;iTALK;LOCATE;LRdb;Matrisome;OmniPath;Ramilowski2015;scConnect;talklr;TopDB;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"AHSG","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,11,"NO","NO","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"AIMP1","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,17,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","ComPPI;GO_Intercell;HPA_secretome;LOCATE;MatrixDB;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ALB","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",1,12,"NO","NO","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Cellinker;ComPPI;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;LOCATE;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ALCAM","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",4,44,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","Baccin2019;Cellinker;CellPhoneDB;connectomeDB2020;ConnectomeDB2025;CSPA;DGIdb;HGNC;LOCATE;MCAM;Membranome;OmniPath;Phobius;Ramilowski_location;Surfaceome;TopDB;UniProt_keyword;UniProt_location;UniProt_topology;Zhong2015","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ALKAL1","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,24,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellTalkDB;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;ICELLNET;MatrixDB;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
"ALKAL2","NicheNet lr_network_human_21122021.rds unique from","NicheNet human LR network 2021-12-21; Zenodo 7074291","NICHENET_AND_OMNIPATH_MAPPED",2,23,"YES","YES","YES","YES","OMNIPATH_SECRETED_ANNOTATION","CellTalkDB;connectomeDB2020;ConnectomeDB2025;GO_Intercell;HPA_secretome;ICELLNET;OmniPath;UniProt_keyword;UniProt_location","47c971d2fbba4ecd0ba7485d1846a74054432a0d1a97ea3e6a79ae27d0da8094","5e4142df024fd4d5d64cc667299364982a51176076ae6a69e1069425530afafa","FROZEN_BEFORE_EXPRESSION_OUTCOMES","https://zenodo.org/records/7074291|https://omnipathdb.org/intercell"
