gene,candidate_rank,sender_evidence_level,baseline_classification,licensing_classification,omnipath_secreted_annotation,omnipath_extracellular_annotation,protein_secretome_annotation,P1_PARACRINE_CORE,P2_EXTRACELLULAR_EXTENDED,P3_FULL_LR_SENSITIVITY,primary_scope_membership,scope_freeze_status,interpretation,source_url
SERPINE1,11,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
MXRA8,12,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,NO,NO,NO_OMNIPATH_SECRETED_ANNOTATION,NO,NO,YES,P3_FULL_LR_SENSITIVITY,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
HLA-E,13,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
MSN,14,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
LGALS3BP,15,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
TSPAN5,16,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
NAMPT,17,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CLDN11,18,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,NO,NO,NO_OMNIPATH_SECRETED_ANNOTATION,NO,NO,YES,P3_FULL_LR_SENSITIVITY,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CD9,19,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
LAMB1,20,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
NID2,21,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
SDC2,22,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ADAM12,23,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
PTN,24,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
SLIT2,25,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CXCL5,26,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
THBS2,27,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CDH13,28,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
BTN2A1,29,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CD58,30,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ROBO1,31,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
FGF2,32,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
TCTN1,33,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
PDGFC,34,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_DOWN,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
VEGFC,35,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CD82,36,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CFH,37,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
IL15,38,S1,ROBUST_BASELINE_SENDER,LICENSING_CONSISTENT_UP,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
LGALS1,39,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
RPS19,40,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
TIMP1,41,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
GSTP1,42,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
FN1,43,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CALM2,44,S2,ROBUST_BASELINE_SENDER,DONOR_DEPENDENT,NO,NO,NO_OMNIPATH_SECRETED_ANNOTATION,NO,NO,YES,P3_FULL_LR_SENSITIVITY,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ANXA2,45,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
COL1A2,46,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
HMGB1,47,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
IGFBP7,48,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CALR,49,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
SPARC,50,S2,ROBUST_BASELINE_SENDER,DONOR_DEPENDENT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CD99,51,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
HSP90B1,52,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
S100A10,53,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
RTN4,54,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CTHRC1,55,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
COL3A1,56,S2,ROBUST_BASELINE_SENDER,DONOR_DEPENDENT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
THY1,57,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ITGB1,58,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
COL6A1,59,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ARF1,60,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
COL6A2,61,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
S100A4,62,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CALM1,63,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,NO,YES,NO_OMNIPATH_SECRETED_ANNOTATION,NO,YES,YES,P2_EXTRACELLULAR_EXTENDED,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
ITM2B,64,S2,ROBUST_BASELINE_SENDER,NO_CLEAR_LICENSING_EFFECT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
CD59,65,S2,ROBUST_BASELINE_SENDER,PASSAGE_DEPENDENT,YES,YES,OMNIPATH_SECRETED_ANNOTATION,YES,YES,YES,P1_PARACRINE_CORE,FROZEN_BEFORE_PHASE4_COMPATIBILITY_OUTCOMES,SENDER_SCOPE_NOT_THERAPEUTIC_PRIORITY,results/03_phase3/sender/frozen_phase4_sender_candidates.csv|config/phase4a_analysis.json
